iter	Passed	Remaining
1565	366760	218744
1566	366969	218495
1567	367169	218241
1568	367386	217996
1569	367591	217745
1570	367803	217498
1571	368005	217245
1572	368207	216991
1573	368428	216750
1574	368634	216499
1575	368849	216254
1576	369045	215997
1577	369243	215743
1578	369454	215495
1579	369670	215250
1580	369891	215009
1581	370090	214755
1582	370324	214521
1583	370529	214270
1584	370732	214019
1585	370933	213766
1586	371144	213518
1587	371352	213270
1588	371554	213018
1589	371772	212775
1590	371973	212523
1591	372183	212275
1592	372381	212021
1593	372589	211772
1594	372801	211527
1595	373000	211273
1596	373197	211019
1597	373419	210778
1598	373626	210529
1599	373809	210267
1600	373979	209998
1601	374146	209727
1602	374317	209458
1603	374499	209196
1604	374705	208947
1605	374882	208683
1606	375067	208422
1607	375244	208157
1608	375452	207910
1609	375659	207662
1610	375854	207408
1611	376047	207152
1612	376272	206914
1613	376481	206668
1614	376686	206419
1615	376882	206165
1616	377082	205914
1617	377292	205668
1618	377488	205415
1619	377699	205170
1620	377886	204912
1621	378052	204642
1622	378224	204376
1623	378391	204107
1624	378568	203844
1625	378745	203581
1626	378921	203318
1627	379104	203058
1628	379289	202799
1629	379469	202538
1630	379651	202278
1631	379829	202017
1632	380020	201762
1633	380196	201499
1634	380384	201243
1635	380552	200976
1636	380741	200720
1637	380913	200456
1638	381084	200191
1639	381260	199929
1640	381432	199665
1641	381606	199401
1642	381786	199142
1643	381956	198877
1644	382126	198612
1645	382305	198352
1646	382484	198093
1647	382663	197833
1648	382835	197570
1649	383001	197303
1650	383172	197040
1651	383367	196788
1652	383546	196530
1653	383732	196274
1654	383915	196017
1655	384076	195749
1656	384252	195488
1657	384439	195234
1658	384609	194970
1659	384783	194709
1660	384948	194444
